locator,location,time,Nall,Nmissed,Ncorrect,Nwrong,mergeEquivalent,mergeSuperCSubSpace,mergeTypeChefSubSpace,mergeDisjointOrOverlapping,isTrue
FeatureCoPP,splc18challengecase/vbdb/busybox/simple/ebee301.c:24,660,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/linux/simple/0988c4c.c:16,659,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/0dc77b6.c:38,680,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/0f8f809.c:39,665,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/1f758a4.c:40,671,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/208d898.c:32,657,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/221ac32.c:37,652,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/242f1a3.c:18,654,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/2f02c15.c:18,654,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/472a474.c:22,667,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/linux/simple/51fd36f.c:44,671,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/60e233a.c:27,646,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/linux/simple/6252547.c:13,670,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/63878ac.c:17,672,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/6515e48.c:11,658,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/657e964.c:69,653,1,0,?,?,0,0,0,0,1
FeatureCoPP,splc18challengecase/vbdb/linux/simple/6651791.c:17,656,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/6651791.c:25,670,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/6e2b757.c:66,659,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/76baeeb.c:40,678,1,0,?,?,0,0,0,0,0
FeatureCoPP,splc18challengecase/vbdb/linux/simple/76baeeb.c:45,690,1,0,?,?,0,0,0,0,0
